Ticker,In_Dataset
MMM,True
AOS,True
ABT,True
ABBV,True
ACN,True
ADBE,True
AMD,True
AES,True
AFL,True
A,True
APD,True
ABNB,True
AKAM,True
ALB,True
ARE,True
ALGN,True
ALLE,True
LNT,True
ALL,True
GOOGL,True
GOOG,True
MO,True
AMZN,True
AMCR,True
AEE,True
AEP,True
AXP,True
AIG,True
AMT,True
AWK,True
AMP,True
AME,True
AMGN,True
APH,True
ADI,True
AON,True
APA,True
APO,True
AAPL,True
AMAT,True
APTV,True
ACGL,True
ADM,True
ANET,True
AJG,True
AIZ,True
T,True
ATO,True
ADSK,True
ADP,True
AZO,False
AVB,False
AVY,False
AXON,False
BKR,False
BALL,False
BAC,False
BAX,False
BDX,False
BRK.B,False
BBY,False
TECH,False
BIIB,False
BLK,False
BX,False
XYZ,False
BK,False
BA,False
BKNG,False
BSX,False
BMY,False
AVGO,False
BR,False
BRO,False
BF.B,False
BLDR,False
BG,False
BXP,False
CHRW,False
CDNS,False
CZR,False
CPT,False
CPB,False
COF,False
CAH,False
KMX,False
CCL,False
CARR,False
CAT,False
CBOE,False
CBRE,False
CDW,False
COR,False
CNC,False
CNP,False
CF,False
CRL,False
SCHW,False
CHTR,False
CVX,False
CMG,True
CB,True
CHD,True
CI,True
CINF,True
CTAS,True
CSCO,True
C,True
CFG,True
CLX,True
CME,True
CMS,True
KO,True
CTSH,True
COIN,True
CL,True
CMCSA,True
CAG,True
COP,True
ED,True
STZ,True
CEG,True
COO,True
CPRT,True
GLW,True
CPAY,True
CTVA,True
CSGP,True
COST,True
CTRA,True
CRWD,True
CCI,True
CSX,True
CMI,True
CVS,True
DHR,True
DRI,True
DDOG,True
DVA,True
DAY,True
DECK,True
DE,True
DELL,True
DAL,True
DVN,True
DXCM,True
FANG,True
DLR,True
DG,True
DLTR,True
D,False
DPZ,False
DASH,False
DOV,False
DOW,False
DHI,False
DTE,False
DUK,False
DD,False
EMN,False
ETN,False
EBAY,False
ECL,False
EIX,False
EW,False
EA,False
ELV,False
EMR,False
ENPH,False
ETR,False
EOG,False
EPAM,False
EQT,False
EFX,False
EQIX,False
EQR,False
ERIE,False
ESS,False
EL,False
EG,False
EVRG,False
ES,False
EXC,False
EXE,False
EXPE,False
EXPD,False
EXR,False
XOM,False
FFIV,False
FDS,False
FICO,False
FAST,False
FRT,False
FDX,False
FIS,False
FITB,False
FSLR,False
FE,False
FI,False
F,False
FTNT,True
FTV,True
FOXA,True
FOX,True
BEN,True
FCX,True
GRMN,True
IT,True
GE,True
GEHC,True
GEV,True
GEN,True
GNRC,True
GD,True
GIS,True
GM,True
GPC,True
GILD,True
GPN,True
GL,True
GDDY,True
GS,True
HAL,True
HIG,True
HAS,True
HCA,True
DOC,True
HSIC,True
HSY,True
HPE,True
HLT,True
HOLX,True
HD,True
HON,True
HRL,True
HST,True
HWM,True
HPQ,True
HUBB,True
HUM,True
HBAN,True
HII,True
IBM,True
IEX,True
IDXX,True
ITW,True
INCY,True
IR,True
PODD,True
INTC,True
ICE,False
IFF,False
IP,False
IPG,False
INTU,False
ISRG,False
IVZ,False
INVH,False
IQV,False
IRM,False
JBHT,False
JBL,False
JKHY,False
J,False
JNJ,False
JCI,False
JPM,False
K,False
KVUE,False
KDP,False
KEY,False
KEYS,False
KMB,False
KIM,False
KMI,False
KKR,False
KLAC,False
KHC,False
KR,False
LHX,False
LH,False
LRCX,False
LW,False
LVS,False
LDOS,False
LEN,False
LII,False
LLY,False
LIN,False
LYV,False
LKQ,False
LMT,False
L,False
LOW,False
LULU,False
LYB,False
MTB,False
MPC,False
MKTX,False
MAR,False
MMC,True
MLM,True
MAS,True
MA,True
MTCH,True
MKC,True
MCD,True
MCK,True
MDT,True
MRK,True
META,True
MET,True
MTD,True
MGM,True
MCHP,True
MU,True
MSFT,True
MAA,True
MRNA,True
MHK,True
MOH,True
TAP,True
MDLZ,True
MPWR,True
MNST,True
MCO,True
MS,True
MOS,True
MSI,True
MSCI,True
NDAQ,True
NTAP,True
NFLX,True
NEM,True
NWSA,True
NWS,True
NEE,True
NKE,True
NI,True
NDSN,True
NSC,True
NTRS,True
NOC,True
NCLH,True
NRG,True
NUE,True
NVDA,True
NVR,True
NXPI,True
ORLY,True
OXY,True
ODFL,True
OMC,True
ON,True
OKE,True
ORCL,True
OTIS,True
PCAR,True
PKG,True
PLTR,True
PANW,True
PSKY,True
PH,True
PAYX,True
PAYC,True
PYPL,True
PNR,True
PEP,True
PFE,True
PCG,True
PM,True
PSX,True
PNW,True
PNC,True
POOL,True
PPG,True
PPL,True
PFG,True
PG,True
PGR,True
PLD,True
PRU,True
PEG,True
PTC,True
PSA,True
PHM,True
PWR,True
QCOM,True
DGX,True
RL,True
RJF,True
RTX,True
O,True
REG,True
REGN,True
RF,True
RSG,True
RMD,True
RVTY,True
ROK,True
ROL,True
ROP,True
ROST,True
RCL,True
SPGI,True
CRM,True
SBAC,True
SLB,True
STX,True
SRE,True
NOW,True
SHW,True
SPG,True
SWKS,True
SJM,True
SW,True
SNA,True
SOLV,True
SO,True
LUV,True
SWK,True
SBUX,True
STT,True
STLD,True
STE,True
SYK,True
SMCI,True
SYF,True
SNPS,True
SYY,True
TMUS,True
TROW,True
TTWO,True
TPR,True
TRGP,True
TGT,True
TEL,True
TDY,True
TER,True
TSLA,True
TXN,True
TPL,True
TXT,True
TMO,True
TJX,True
TKO,True
TTD,True
TSCO,True
TT,True
TDG,True
TRV,False
TRMB,False
TFC,False
TYL,False
TSN,False
USB,False
UBER,False
UDR,False
ULTA,False
UNP,False
UAL,False
UPS,False
URI,False
UNH,False
UHS,False
VLO,False
VTR,False
VLTO,False
VRSN,False
VRSK,False
VZ,False
VRTX,False
VTRS,False
VICI,False
V,False
VST,False
VMC,False
WRB,False
GWW,False
WAB,False
WBA,False
WMT,False
DIS,False
WBD,False
WM,False
WAT,False
WEC,False
WFC,False
WELL,False
WST,False
WDC,False
WY,False
WSM,False
WMB,False
WTW,False
WDAY,False
WYNN,False
XEL,False
XYL,False
YUM,False
ZBRA,True
ZBH,True
ZTS,True
